SampleID,Normalization,Panel,Plate,Adj_factor,UniProt,OlinkID,Donor,Celltype,Stimulation,CD56status,Celltype_CD56status,Assay,LOD,NPX
D3 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D3,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,IL-8,-0.67262,-1.25507
D1 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D1,CD8T,PMA + Ionomycin,NA,CD8T,IL-8,-0.67262,3.32675
D2 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D2,MAIT,control,CD56neg,CD56- MAIT,IL-8,-0.67262,-1.54295
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,IL-8,-0.67262,0.85182
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P10145,OID00471,D3,NK,control,NA,NK,IL-8,-0.67262,2.66952
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,VEGFA,-1.47196,3.16886
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D3,NK,IL-12 + IL-18,NA,NK,VEGFA,-1.47196,3.081
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,VEGFA,-1.47196,5.52341
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,VEGFA,-1.47196,2.69327
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D1,MAIT,control,CD56pos,CD56+ MAIT,VEGFA,-1.47196,1.21611
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,VEGFA,-1.47196,2.01948
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,VEGFA,-1.47196,2.12136
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D3,CD8T,PMA + Ionomycin,NA,CD8T,VEGFA,-1.47196,0.23611
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D2,MAIT,control,CD56pos,CD56+ MAIT,VEGFA,-1.47196,1.17454
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,VEGFA,-1.47196,5.43095
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,VEGFA,-1.47196,5.60907
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,VEGFA,-1.47196,2.61216
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D2,NK,IL-12 + IL-18,NA,NK,VEGFA,-1.47196,3.5953
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D3,MAIT,control,CD56pos,CD56+ MAIT,VEGFA,-1.47196,2.09796
D2 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D2,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,VEGFA,-1.47196,5.26253
D1 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D1,NK,control,NA,NK,VEGFA,-1.47196,-0.17376
D2 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D2,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,VEGFA,-1.47196,5.3659
D3 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D3,MAIT,control,CD56neg,CD56- MAIT,VEGFA,-1.47196,2.19627
D2 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D2,NK,control,NA,NK,VEGFA,-1.47196,0.36007
CD56-M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D1,MAIT,control,CD56neg,CD56- MAIT,VEGFA,-1.47196,2.17119
D2 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D2,CD8T,PMA + Ionomycin,NA,CD8T,VEGFA,-1.47196,-0.24802
D1 NK c 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D1,NK,IL-12 + IL-18,NA,NK,VEGFA,-1.47196,3.65113
D3 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D3,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,VEGFA,-1.47196,4.636
D1 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D1,CD8T,PMA + Ionomycin,NA,CD8T,VEGFA,-1.47196,-0.30644
D2 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D2,MAIT,control,CD56neg,CD56- MAIT,VEGFA,-1.47196,1.0424
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,VEGFA,-1.47196,2.79988
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P15692,OID00472,D3,NK,control,NA,NK,VEGFA,-1.47196,0.09241
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CD8A,-1.50491,3.63074
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D3,NK,IL-12 + IL-18,NA,NK,CD8A,-1.50491,0.5871
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CD8A,-1.50491,4.12992
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CD8A,-1.50491,4.15593
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D1,MAIT,control,CD56pos,CD56+ MAIT,CD8A,-1.50491,3.96062
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CD8A,-1.50491,2.96093
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CD8A,-1.50491,4.21288
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D3,CD8T,PMA + Ionomycin,NA,CD8T,CD8A,-1.50491,3.92093
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D2,MAIT,control,CD56pos,CD56+ MAIT,CD8A,-1.50491,3.55959
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CD8A,-1.50491,6.7163
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CD8A,-1.50491,3.94954
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CD8A,-1.50491,4.06905
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D2,NK,IL-12 + IL-18,NA,NK,CD8A,-1.50491,0.7074
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D3,MAIT,control,CD56pos,CD56+ MAIT,CD8A,-1.50491,3.4465
D2 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D2,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CD8A,-1.50491,2.77672
D1 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D1,NK,control,NA,NK,CD8A,-1.50491,1.37429
D2 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D2,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CD8A,-1.50491,3.61744
D3 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D3,MAIT,control,CD56neg,CD56- MAIT,CD8A,-1.50491,3.64117
D2 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D2,NK,control,NA,NK,CD8A,-1.50491,0.48929
CD56-M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D1,MAIT,control,CD56neg,CD56- MAIT,CD8A,-1.50491,4.43024
D2 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D2,CD8T,PMA + Ionomycin,NA,CD8T,CD8A,-1.50491,3.99634
D1 NK c 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D1,NK,IL-12 + IL-18,NA,NK,CD8A,-1.50491,1.94788
D3 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D3,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CD8A,-1.50491,2.51064
D1 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D1,CD8T,PMA + Ionomycin,NA,CD8T,CD8A,-1.50491,4.78619
D2 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D2,MAIT,control,CD56neg,CD56- MAIT,CD8A,-1.50491,4.75596
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CD8A,-1.50491,3.07792
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P01732,OID05124,D3,NK,control,NA,NK,CD8A,-1.50491,-0.37957
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,MCP-3,-1.31541,-2.27553
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D3,NK,IL-12 + IL-18,NA,NK,MCP-3,-1.31541,-1.90978
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,MCP-3,-1.31541,-2.58215
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,MCP-3,-1.31541,-2.02178
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D1,MAIT,control,CD56pos,CD56+ MAIT,MCP-3,-1.31541,-2.18747
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,MCP-3,-1.31541,-1.45616
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,MCP-3,-1.31541,-2.32786
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D3,CD8T,PMA + Ionomycin,NA,CD8T,MCP-3,-1.31541,-2.0838
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D2,MAIT,control,CD56pos,CD56+ MAIT,MCP-3,-1.31541,-1.95513
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,MCP-3,-1.31541,-2.14387
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,MCP-3,-1.31541,-2.90656
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,MCP-3,-1.31541,-1.89458
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D2,NK,IL-12 + IL-18,NA,NK,MCP-3,-1.31541,-2.01865
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D3,MAIT,control,CD56pos,CD56+ MAIT,MCP-3,-1.31541,-1.55198
D2 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D2,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,MCP-3,-1.31541,-1.81495
D1 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D1,NK,control,NA,NK,MCP-3,-1.31541,-2.14202
D2 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D2,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,MCP-3,-1.31541,-2.18383
D3 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D3,MAIT,control,CD56neg,CD56- MAIT,MCP-3,-1.31541,-1.86485
D2 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D2,NK,control,NA,NK,MCP-3,-1.31541,-1.47274
CD56-M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D1,MAIT,control,CD56neg,CD56- MAIT,MCP-3,-1.31541,-2.06905
D2 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D2,CD8T,PMA + Ionomycin,NA,CD8T,MCP-3,-1.31541,-1.82589
D1 NK c 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D1,NK,IL-12 + IL-18,NA,NK,MCP-3,-1.31541,-2.08918
D3 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D3,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,MCP-3,-1.31541,-2.07623
D1 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D1,CD8T,PMA + Ionomycin,NA,CD8T,MCP-3,-1.31541,-1.74886
D2 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D2,MAIT,control,CD56neg,CD56- MAIT,MCP-3,-1.31541,-1.62306
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,MCP-3,-1.31541,-1.34924
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P80098,OID00474,D3,NK,control,NA,NK,MCP-3,-1.31541,-2.18043
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,GDNF,-0.74183,-2.03505
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D3,NK,IL-12 + IL-18,NA,NK,GDNF,-0.74183,-1.27054
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,GDNF,-0.74183,-1.49887
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,GDNF,-0.74183,-1.71099
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D1,MAIT,control,CD56pos,CD56+ MAIT,GDNF,-0.74183,-2.00513
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,GDNF,-0.74183,-1.00744
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,GDNF,-0.74183,-2.20666
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D3,CD8T,PMA + Ionomycin,NA,CD8T,GDNF,-0.74183,-1.41764
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D2,MAIT,control,CD56pos,CD56+ MAIT,GDNF,-0.74183,-1.90961
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,GDNF,-0.74183,-2.04374
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,GDNF,-0.74183,-1.41815
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,GDNF,-0.74183,-1.11094
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D2,NK,IL-12 + IL-18,NA,NK,GDNF,-0.74183,-1.47296
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D3,MAIT,control,CD56pos,CD56+ MAIT,GDNF,-0.74183,-1.71623
D2 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D2,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,GDNF,-0.74183,-1.67637
D1 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D1,NK,control,NA,NK,GDNF,-0.74183,-1.68791
D2 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D2,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,GDNF,-0.74183,-2.06485
D3 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D3,MAIT,control,CD56neg,CD56- MAIT,GDNF,-0.74183,-1.41359
D2 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D2,NK,control,NA,NK,GDNF,-0.74183,-1.59751
CD56-M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D1,MAIT,control,CD56neg,CD56- MAIT,GDNF,-0.74183,-1.93634
D2 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D2,CD8T,PMA + Ionomycin,NA,CD8T,GDNF,-0.74183,-1.58879
D1 NK c 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D1,NK,IL-12 + IL-18,NA,NK,GDNF,-0.74183,-1.47682
D3 CD56+M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D3,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,GDNF,-0.74183,-1.65423
D1 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D1,CD8T,PMA + Ionomycin,NA,CD8T,GDNF,-0.74183,-1.61611
D2 CD56-M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D2,MAIT,control,CD56neg,CD56- MAIT,GDNF,-0.74183,-1.24466
D3 CD56+ M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D3,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,GDNF,-0.74183,-1.32119
D3 NK ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,P39905,OID00475,D3,NK,control,NA,NK,GDNF,-0.74183,-1.72359
D3 CD56- M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D3,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CDCP1,-3.15745,-3.83946
D3 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D3,NK,IL-12 + IL-18,NA,NK,CDCP1,-3.15745,-3.41346
D3 CD56-M 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D3,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CDCP1,-3.15745,-3.87166
CD56-M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D1,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CDCP1,-3.15745,-3.46685
CD56+M D1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D1,MAIT,control,CD56pos,CD56+ MAIT,CDCP1,-3.15745,-4.26992
D2 CD56+M PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D2,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CDCP1,-3.15745,-3.57177
CD56+M PI D1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D1,MAIT,PMA + Ionomycin,CD56pos,CD56+ MAIT,CDCP1,-3.15745,-3.31
D3 CD8T PI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D3,CD8T,PMA + Ionomycin,NA,CD8T,CDCP1,-3.15745,-3.84354
D2 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D2,MAIT,control,CD56pos,CD56+ MAIT,CDCP1,-3.15745,-3.97438
CD56+M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D1,MAIT,IL-12 + IL-18,CD56pos,CD56+ MAIT,CDCP1,-3.15745,-3.90178
CD56-M cyto D1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D1,MAIT,IL-12 + IL-18,CD56neg,CD56- MAIT,CDCP1,-3.15745,-3.83094
D2 CD56-MPI 1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D2,MAIT,PMA + Ionomycin,CD56neg,CD56- MAIT,CDCP1,-3.15745,-3.44503
D2 NK 1 c,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D2,NK,IL-12 + IL-18,NA,NK,CDCP1,-3.15745,-3.75033
D3 CD56+M ctrl 1,Intensity Normalized (v.2),Olink Inflammation,1,0,Q9H5V8,OID00476,D3,MAIT,control,CD56pos,CD56+ MAIT,CDCP1,-3.15745,-3.48819
